Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
357.50	0.88698	33.756	0.029625	442.12	468.40	1.8671	0.88782	1.0237	164.66	12.647	14.214	0.018479	vapor
357.74	0.88698	33.723	0.029654	442.34	468.65	1.8677	0.88810	1.0237	164.75	12.616	14.224	0.018497	vapor
357.98	0.88698	33.690	0.029683	442.57	468.90	1.8684	0.88839	1.0238	164.84	12.585	14.234	0.018516	vapor
358.23	0.88698	33.657	0.029711	442.79	469.14	1.8691	0.88867	1.0239	164.93	12.553	14.243	0.018535	vapor
358.47	0.88698	33.624	0.029740	443.01	469.39	1.8698	0.88895	1.0240	165.02	12.522	14.253	0.018553	vapor
358.71	0.88698	33.592	0.029769	443.24	469.64	1.8705	0.88924	1.0241	165.11	12.491	14.263	0.018572	vapor
358.95	0.88698	33.559	0.029798	443.46	469.89	1.8712	0.88952	1.0242	165.20	12.461	14.273	0.018591	vapor
359.20	0.88698	33.527	0.029827	443.68	470.14	1.8719	0.88981	1.0243	165.29	12.430	14.283	0.018610	vapor
359.44	0.88698	33.495	0.029856	443.91	470.39	1.8726	0.89009	1.0244	165.38	12.399	14.293	0.018628	vapor
359.68	0.88698	33.462	0.029884	444.13	470.64	1.8733	0.89038	1.0245	165.47	12.369	14.303	0.018647	vapor
359.93	0.88698	33.430	0.029913	444.35	470.89	1.8740	0.89067	1.0246	165.56	12.339	14.313	0.018666	vapor
360.17	0.88698	33.398	0.029942	444.58	471.14	1.8747	0.89095	1.0248	165.65	12.308	14.322	0.018685	vapor
360.41	0.88698	33.366	0.029971	444.80	471.39	1.8754	0.89124	1.0249	165.74	12.278	14.332	0.018703	vapor
360.66	0.88698	33.334	0.029999	445.03	471.63	1.8761	0.89153	1.0250	165.83	12.248	14.342	0.018722	vapor
360.90	0.88698	33.302	0.030028	445.25	471.88	1.8768	0.89182	1.0251	165.92	12.218	14.352	0.018741	vapor
361.14	0.88698	33.271	0.030057	445.47	472.13	1.8774	0.89211	1.0252	166.01	12.189	14.362	0.018760	vapor
361.39	0.88698	33.239	0.030085	445.70	472.38	1.8781	0.89240	1.0253	166.10	12.159	14.372	0.018779	vapor
361.63	0.88698	33.207	0.030114	445.92	472.63	1.8788	0.89269	1.0254	166.18	12.129	14.381	0.018797	vapor
361.87	0.88698	33.176	0.030142	446.14	472.88	1.8795	0.89298	1.0256	166.27	12.100	14.391	0.018816	vapor
362.11	0.88698	33.144	0.030171	446.37	473.13	1.8802	0.89327	1.0257	166.36	12.071	14.401	0.018835	vapor
362.36	0.88698	33.113	0.030200	446.59	473.38	1.8809	0.89357	1.0258	166.45	12.041	14.411	0.018854	vapor
362.60	0.88698	33.082	0.030228	446.82	473.63	1.8816	0.89386	1.0259	166.54	12.012	14.421	0.018872	vapor
362.84	0.88698	33.051	0.030257	447.04	473.88	1.8823	0.89415	1.0260	166.62	11.983	14.431	0.018891	vapor
363.09	0.88698	33.020	0.030285	447.26	474.13	1.8830	0.89444	1.0262	166.71	11.954	14.440	0.018910	vapor
363.33	0.88698	32.989	0.030314	447.49	474.38	1.8836	0.89474	1.0263	166.80	11.926	14.450	0.018929	vapor
